****Variant: SE****,
Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Part,Value,Qty,Name,
Taiyo Yuden,EMK316B7475KL-T,,,C1206,4.7u,1,C1,
Samsung,CL21A226MOCLRNC,,,C805,22u,3,C2 C3 C22,
AVX,08051A4R7CAT2A,,,C805,4.7p,1,C4,
,CL10B104KO8NNWC,,,C603,100n,4,C5 C20 C28 C30,
Kemet,C0805C101J5GAC7800,,,C805,100p,1,C6,
,,,,C805,8p,2,C14 C15,
Samsung,CL10B105KO8NNNC,Digikey,1276-1019-2-ND,C603,1u,3,C19 C27 C44,
Murata,NFM21PC105B1C3D,Digikey,490-3912-2-ND,NFM21P,INST,2,C23 C24,
Panasonic,RL81C221MDN1KX,Digikey,P16296-ND,16SEPC220MD,220u,1,C29,
Samsung,C0603C223K5RACTU,,,C603,220n,4,C43 C47 C48 C49,
Kemet,C0603C472K5RACTU,,,C603,4.7n,1,C46,
,BHR-14-VUA,,,14pin_conn_vert,INST,1,CONN1,
Diodes/Zetex,ZHCS400TA,Digikey,ZHCS400TR-ND,ZHCS400,INST,3,D1 D2 D3,
Rohm Semiconductor,RB496EATR,,,RB496EATR,INST,1,D4,
Fairchild,MM5Z15V,Digikey,MM5Z15VTR-ND,MM5Z15V,INST,2,D6 D7,
Belfuse,0ZCG0150BF2C,Digikey,507-1773-2-ND,0ZCC,40 mOhms,1,F1,
Littelfuse Inc.,PICOASMDC010S-2,Digikey,507-1516-2-ND,Fuse805,INST,2,F7 F8,
,,,,CONN2,,3,GND1 GND2 GND3,
Microchip Technology,MCP6561T-E/LT,Digikey,,MCP6561T-E_LT,INST,1,IC1,
,MC78M05BDTRKG,,,MC78M05BDTRKG,INST,1,IC3,
3M,961206-6404-AR,Digikey,,BDM_no_shroud,INST,1,J1,
Murata,LQH44PN100MP0L,Digikey,490-5330-2-ND,LQH44P,10uH,2,L1 L2,
Murata,BLM21PG221SN1D,Digikey,490-1054-2-ND,BLM21P,INST,1,L3,
Lite-On,LTST-C190KRKT,,,LED603,INST,2,LED3 LED5,
Lite-On,LTST-C190KGKT,,,LED603,INST,1,LED4,
,NXV75UPR,,,PMOS SOT23,INST,1,Q1,
Panasonic Electronic Components,ERJ6ENF9093V,,,R805,909k,1,R1,
Yageo,RT0603DRD07100KL,,,R603,100k,2,R2 R35,
Yageo,RC0805FR-07137KL,,,R805,137k,1,R3,
Panasonic Electronic Components,ERJ6ENF1004V,,,R805,1meg,1,R4,
,RMCF0603FT8K20,,,R603,8.2k,1,R13,
Vishay Dale,CRCW06031K00FKEAC,,,R603,1k,7,R26 R57 R58 R63 R64 R65 R90,
,RMCF0603FT33K0,,,R603,36k,1,R28,
Yageo,RC0603FR-0791KL,,,R603,91k,1,R37,
Yageo,RC0603FR-0762KL,,,R603,62k,1,R38,
Yageo,RMCF0603JT200K,,,R603,200k,1,R39,
Yageo,RT0603DRE0710KL,,,R603,10k,3,R40 R61 R62,
Stackpole Electronics Inc.,RC1608F133CS,,,R603,13k,1,R41,
Yageo,RC0603JR-070RL,,,R603,0,3,R43 R49 R70,
Yageo,RC1206FR-07976RL,,,R1206,976,2,RS1*A RS1A,
,,,,R1206,330,1,RS4A,
,DG470EQ-T1-E3,,,DG419L-umax,INST,1,SW1,
Linear,LT1945EMS,Digikey,LT1945EMS#TRPBF-ND,LT1945,INST,1,U1,
Diodes Inc.,DT1042-04SO-7,Digikey,DT1042-04SO-7DICT-ND,HDMIULC6-4SC6,INST,3,U8 U15 U16,
STMicroelectronics,ETP01-2821,Digikey,497-8909-6-ND,ETP01-2821,INST,1,U9,
TI,SN65HVDA100QDRQ1,,,TI_LIN_SN65HVDA100-Q1,INST,1,U22,
STMicroelectronics,ST715MR,,,ST715,INST,1,U23,
NXP,S9S12G96F0CLH,,,S12G96 64-pin,INST,1,U32,
Raltron Electronics,RH100-12.000-8-EXT-TR,,,XTAL-Can,,1,XTAL1,
End of Regular BOM,
DNI List:,C45 CONN2 DS[1-2]A F[9-10] IC2 IC5 LED6 LED7 R[5-6] R[9-11] R23 R12 R14 R75 RS5A RS5B R24 R[66-67] R[29-30] R36 R42 R[44-46] R[71-72] R[31-34] R54 R55 R56 RS1*B RS1B R60 R76 R[78-79] R89 RS2A RS2B RS3A RS[3-4]B SS2A SS2B SW2 U3 U17 U21 U24 U30 U33,
Board info:,
Board size in mils: 0 x 0 and board size in mm: 0.00 x 0.00,
Parts Counts-> Total_Parts: 83 SM: 0 TH: 83 Unique_Parts: 49 SM: 0 TH: 49,
Counts-> SM-pads: 0 TH-pins: 298,
